"add","day","month","year","pm25_highway","pm25_city"
"Minneapolis-St. Paul, MN",17,8,2004,17.03060862056,16.8180875062943
"Minneapolis-St. Paul, MN",17,8,2005,7.23051164443033,7.50865259000233
"Minneapolis-St. Paul, MN",17,8,2006,10.9841696170338,11.588518674033
"Minneapolis-St. Paul, MN",17,8,2007,9.81986978597808,9.82422295297895
"Minneapolis-St. Paul, MN",17,8,2008,11.1378688812256,10.9386789390019
"Minneapolis-St. Paul, MN",17,8,2009,4.27758787807665,4.62789073160716
"Minneapolis-St. Paul, MN",17,8,2010,6.93934487878231,6.94313301358904
"Minneapolis-St. Paul, MN",17,8,2011,5.20616630922284,5.482268259355
"Minneapolis-St. Paul, MN",17,8,2012,4.56739865478716,5.10691848993301
"Minneapolis-St. Paul, MN",17,8,2013,12.6976392394618,12.7999438388007
"Minneapolis-St. Paul, MN",17,8,2014,8.2185992985441,8.34920829875129
"Minneapolis-St. Paul, MN",17,8,2015,3.91473613078134,3.32671182155609
"Minneapolis-St. Paul, MN",17,8,2016,7.98118413122077,7.4025508591107
"Minneapolis-St. Paul, MN",17,9,2000,8.59871587836952,8.64306709085192
"Minneapolis-St. Paul, MN",17,9,2001,19.328856769361,18.4301713466644
"Minneapolis-St. Paul, MN",17,9,2002,10.3448383598997,10.4485362495695
"Minneapolis-St. Paul, MN",17,9,2003,12.8648941726015,12.8682783739907
"Minneapolis-St. Paul, MN",17,9,2004,8.94408867233678,8.82821961641312
"Minneapolis-St. Paul, MN",17,9,2005,8.81131770318015,8.89022560971124
"Minneapolis-St. Paul, MN",17,9,2006,3.91531065681524,4.04613129922322
"Minneapolis-St. Paul, MN",17,9,2007,12.8873159508956,12.8236161504473
"Minneapolis-St. Paul, MN",17,9,2008,8.97966585661236,8.81445168086461
"Minneapolis-St. Paul, MN",17,9,2009,11.6430716012654,11.3795914547784
"Minneapolis-St. Paul, MN",17,9,2010,4.19173323898985,4.39908796378544
"Minneapolis-St. Paul, MN",17,9,2011,7.36905913603933,7.0148535830634
"Minneapolis-St. Paul, MN",17,9,2012,2.05056050576662,2.02134738500629
"Minneapolis-St. Paul, MN",17,9,2013,4.68728367696729,4.24055266635759
"Minneapolis-St. Paul, MN",17,9,2014,7.88110682002285,7.79646966627666
"Minneapolis-St. Paul, MN",17,9,2015,4.93818768911194,4.62429932015283
"Minneapolis-St. Paul, MN",17,9,2016,6.75243820014753,6.0832029742854
"Minneapolis-St. Paul, MN",18,1,2000,17.2197729662845,17.6528642688479
"Minneapolis-St. Paul, MN",18,1,2001,15.2865771578069,15.8500507490976
"Minneapolis-St. Paul, MN",18,1,2002,9.59993342349404,9.60456611599241
"Minneapolis-St. Paul, MN",18,1,2003,6.02973957647357,5.71369553123202
"Minneapolis-St. Paul, MN",18,1,2004,7.04096303906357,6.97727035965238
"Minneapolis-St. Paul, MN",18,1,2005,13.9589469976592,13.7609158141272
"Minneapolis-St. Paul, MN",18,1,2006,8.59606145557604,8.59992251736777
"Minneapolis-St. Paul, MN",18,1,2007,13.010364833631,13.2979903595788
"Minneapolis-St. Paul, MN",18,1,2008,8.75345064464368,8.77013010467802
"Minneapolis-St. Paul, MN",18,1,2009,11.562835316909,11.7232169696263
"Minneapolis-St. Paul, MN",18,1,2010,15.877456782157,16.3109414305006
"Minneapolis-St. Paul, MN",18,1,2011,4.71125271027548,4.92552192551749
"Minneapolis-St. Paul, MN",18,1,2012,6.23364491630019,6.46770369665963
"Minneapolis-St. Paul, MN",18,1,2013,6.40375150295726,6.46063980204718
"Minneapolis-St. Paul, MN",18,1,2014,5.88488299386543,6.95237980229514
"Minneapolis-St. Paul, MN",18,1,2015,7.14673462248685,6.70720029047557
"Minneapolis-St. Paul, MN",18,1,2016,7.66380057836834,7.39005174977439
"Minneapolis-St. Paul, MN",18,10,2000,18.4471348712319,18.8822386605399
