"month","year","pm25","add","date"
"04","2008",7.15531422713939,"Myrtle Beach-Socastee, SC-NC",2008-04-01
"04","2008",12.6628216710671,"College Station-Bryan, TX",2008-04-01
"04","2008",7.57251833076873,"Charleston-North Charleston, SC",2008-04-01
"05","2008",9.27945790987149,"Myrtle Beach-Socastee, SC-NC",2008-05-01
"05","2008",14.5649247986441,"College Station-Bryan, TX",2008-05-01
"05","2008",9.89747351275905,"Charleston-North Charleston, SC",2008-05-01
"06","2008",12.6081261719736,"Myrtle Beach-Socastee, SC-NC",2008-06-01
"06","2008",11.9621625879076,"College Station-Bryan, TX",2008-06-01
"06","2008",11.6630405898296,"Charleston-North Charleston, SC",2008-06-01
"07","2008",11.9768366638735,"Myrtle Beach-Socastee, SC-NC",2008-07-01
"07","2008",15.7945688402476,"College Station-Bryan, TX",2008-07-01
"07","2008",10.6774822168804,"Charleston-North Charleston, SC",2008-07-01
"08","2008",11.1341817382818,"Myrtle Beach-Socastee, SC-NC",2008-08-01
"08","2008",14.3388174665933,"College Station-Bryan, TX",2008-08-01
"08","2008",10.5966884930744,"Charleston-North Charleston, SC",2008-08-01
"09","2008",8.48735700370693,"Myrtle Beach-Socastee, SC-NC",2008-09-01
"09","2008",14.1857211414468,"College Station-Bryan, TX",2008-09-01
"09","2008",8.09408170762058,"Charleston-North Charleston, SC",2008-09-01
"10","2008",7.26716629488636,"Myrtle Beach-Socastee, SC-NC",2008-10-01
"10","2008",12.6832940842394,"College Station-Bryan, TX",2008-10-01
"10","2008",7.75225094948453,"Charleston-North Charleston, SC",2008-10-01
"11","2008",7.15561303945499,"Myrtle Beach-Socastee, SC-NC",2008-11-01
"11","2008",11.6134649025196,"College Station-Bryan, TX",2008-11-01
"11","2008",7.56479819929493,"Charleston-North Charleston, SC",2008-11-01
"12","2008",5.49463013778079,"Myrtle Beach-Socastee, SC-NC",2008-12-01
"12","2008",9.24879829230458,"College Station-Bryan, TX",2008-12-01
"12","2008",6.39766975731229,"Charleston-North Charleston, SC",2008-12-01
"01","2009",8.37089988849513,"Myrtle Beach-Socastee, SC-NC",2009-01-01
"01","2009",10.3708111898995,"College Station-Bryan, TX",2009-01-01
"01","2009",8.32331086580136,"Charleston-North Charleston, SC",2009-01-01
"02","2009",9.15621312442438,"Myrtle Beach-Socastee, SC-NC",2009-02-01
"02","2009",10.1080935978835,"College Station-Bryan, TX",2009-02-01
"02","2009",10.8803066815316,"Charleston-North Charleston, SC",2009-02-01
"03","2009",7.9194765045849,"Myrtle Beach-Socastee, SC-NC",2009-03-01
"03","2009",11.3986888979498,"College Station-Bryan, TX",2009-03-01
"03","2009",8.64341761339763,"Charleston-North Charleston, SC",2009-03-01
"04","2009",7.41249051373311,"Myrtle Beach-Socastee, SC-NC",2009-04-01
"04","2009",10.6407748360609,"College Station-Bryan, TX",2009-04-01
"04","2009",7.0437121597168,"Charleston-North Charleston, SC",2009-04-01
"05","2009",6.06836068087846,"Myrtle Beach-Socastee, SC-NC",2009-05-01
"05","2009",13.3001793977608,"College Station-Bryan, TX",2009-05-01
"05","2009",6.48684403288767,"Charleston-North Charleston, SC",2009-05-01
"06","2009",11.0073115227989,"Myrtle Beach-Socastee, SC-NC",2009-06-01
"06","2009",11.7923652765486,"College Station-Bryan, TX",2009-06-01
"06","2009",11.8712089188184,"Charleston-North Charleston, SC",2009-06-01
"07","2009",10.3329583444026,"Myrtle Beach-Socastee, SC-NC",2009-07-01
"07","2009",15.6162534665891,"College Station-Bryan, TX",2009-07-01
"07","2009",10.277493620466,"Charleston-North Charleston, SC",2009-07-01
"08","2009",8.95951233414826,"Myrtle Beach-Socastee, SC-NC",2009-08-01
"08","2009",13.1451985292293,"College Station-Bryan, TX",2009-08-01
"08","2009",8.23412990984701,"Charleston-North Charleston, SC",2009-08-01
"09","2009",7.31878052502062,"Myrtle Beach-Socastee, SC-NC",2009-09-01
"09","2009",12.7154271583456,"College Station-Bryan, TX",2009-09-01
"09","2009",7.72398336783306,"Charleston-North Charleston, SC",2009-09-01
"10","2009",5.86429738158236,"Myrtle Beach-Socastee, SC-NC",2009-10-01
"10","2009",7.25805421158771,"College Station-Bryan, TX",2009-10-01
"10","2009",7.12571202090547,"Charleston-North Charleston, SC",2009-10-01
"11","2009",7.05995172232745,"Myrtle Beach-Socastee, SC-NC",2009-11-01
"11","2009",11.525299147399,"College Station-Bryan, TX",2009-11-01
"11","2009",8.79026899485688,"Charleston-North Charleston, SC",2009-11-01
"12","2009",6.23825306093303,"Myrtle Beach-Socastee, SC-NC",2009-12-01
"12","2009",9.4519985019764,"College Station-Bryan, TX",2009-12-01
"12","2009",6.83309228047088,"Charleston-North Charleston, SC",2009-12-01
"01","2010",8.86521499031317,"Myrtle Beach-Socastee, SC-NC",2010-01-01
"01","2010",10.8009410853271,"College Station-Bryan, TX",2010-01-01
